method,test_recon_mse,knn_cv_acc_mean,knn_cv_acc_std,trustworthiness,continuity,kruskal_stress_1
PCA,3026.962890625,0.5081249999999999,0.009065732182234379,,,
Kernel PCA,3650.578369140625,0.47874999999999995,0.010031201323869447,,,
Autoencoder,0.036491915583610535,0.5897499999999999,0.014034555568310658,,,
t-SNE (perp=50),,0.7915,0.009325703726797235,0.9779960480130375,0.9809338629810705,0.4064558784322141
"UMAP (nn=15, md=0.1)",,0.751375,0.007689278249614862,0.966619125820066,0.9807316169403703,0.4559872872316153
