fold,model,RMSE,MAE,R2,Adj_R2,MAPE_pct,Explained_Var
1,Linear Regression,0.6220595049485502,0.42305165640136616,0.7159651090398916,0.7115980289205788,23.636756303952154,0.7197922596417403
1,Ridge (RidgeCV),0.6319709918053914,0.43249110724473117,0.7068417505741948,0.7023343974157414,24.35716103750184,0.7113240813289397
1,Lasso (LassoCV),0.6412743901264001,0.4394328999024515,0.6981469113365164,0.6935058736879389,24.813494108289014,0.703134955498344
1,Elastic Net (ElasticNetCV),0.6412743901264001,0.4394328999024515,0.6981469113365164,0.6935058736879389,24.813494108289014,0.703134955498344
1,XGBoost (tuned),0.517870774636031,0.33345638235741654,0.8031431020983701,0.8001163970260818,18.061052717408774,0.804896937066276
1,HuberRegressor (robust),0.6296621774766066,0.42367237823562537,0.7089798600529944,0.7045053806565152,23.309075762859425,0.714700308482439
2,Linear Regression,0.6002934499607678,0.41397272733291257,0.738203922789817,0.734178767851161,23.454351343600234,0.739941463639525
2,Ridge (RidgeCV),0.6047747554324845,0.41937537884458853,0.7342806175112715,0.7301951411507437,23.621058503009387,0.7367575320234534
2,Lasso (LassoCV),0.6135594091977382,0.4259641096545489,0.7265051412919326,0.722300115789041,24.112103406110695,0.7296368054967952
2,Elastic Net (ElasticNetCV),0.6135594091977382,0.4259641096545489,0.7265051412919326,0.722300115789041,24.112103406110695,0.7296368054967952
2,XGBoost (tuned),0.4900479193995869,0.3222833693903617,0.8255331078863476,0.8228506525955472,17.13237884596143,0.8269237243761067
2,HuberRegressor (robust),0.6075293529212609,0.41258917638558673,0.7318545345392653,0.727731756780029,22.824885014991548,0.7347162678282111
3,Linear Regression,0.5968771187953748,0.418429681921672,0.719844804373466,0.7155360502112615,23.275494167240808,0.7229609244462074
3,Ridge (RidgeCV),0.6017390376580165,0.42420208995923,0.7152621547434237,0.7108829199655619,23.600090120532418,0.7188075627789152
3,Lasso (LassoCV),0.6096585381784176,0.4295199006916103,0.7077179526826216,0.7032226889588846,24.075604317335475,0.712169254969433
3,Elastic Net (ElasticNetCV),0.6096585381784176,0.4295199006916103,0.7077179526826216,0.7032226889588846,24.075604317335475,0.712169254969433
3,XGBoost (tuned),0.4844299813404173,0.3173437584035346,0.8154598592814263,0.8126216534875387,16.687291549698898,0.817241782652788
3,HuberRegressor (robust),0.6092287548895885,0.4207546413810552,0.708129900204229,0.7036409721852229,22.822048975181623,0.7127677924751756
4,Linear Regression,0.6172359274740972,0.4203859729177729,0.7181160447801486,0.7137807024974686,23.910775414143316,0.7209441317843472
4,Ridge (RidgeCV),0.6231655200619534,0.4245586558198729,0.7126740880850486,0.7082550491444926,24.050315106870844,0.7154618683178164
4,Lasso (LassoCV),0.6312110188602348,0.4374088008889031,0.7052070415252731,0.7006731602814293,24.839636159976525,0.7093648003795966
4,Elastic Net (ElasticNetCV),0.6312110188602348,0.4374088008889031,0.7052070415252731,0.7006731602814293,24.839636159976525,0.7093648003795966
4,XGBoost (tuned),0.5028019366578689,0.3282206104974584,0.8129482197226361,0.8100713852059125,17.52702725033192,0.8147902897592988
4,HuberRegressor (robust),0.6264427386792455,0.42080654879784213,0.709644055753966,0.7051784152703298,23.522278312960957,0.7139278981443191
5,Linear Regression,0.5894958922403166,0.4038320015143791,0.737074700104317,0.7330309397245003,23.05501350040587,0.7387478234207112
5,Ridge (RidgeCV),0.6064902063861698,0.4159458522965251,0.7216966742962356,0.7174164016769836,23.940688026941675,0.7241171246034885
5,Lasso (LassoCV),0.608135123927027,0.4171103091919314,0.7201850033113939,0.7158814813690899,23.952348956093804,0.7227004776446936
5,Elastic Net (ElasticNetCV),0.608135123927027,0.4171103091919314,0.7201850033113939,0.7158814813690899,23.952348956093804,0.7227004776446936
5,XGBoost (tuned),0.4810574595754368,0.316114662911471,0.8249086389869658,0.8222157543205088,17.218643545948453,0.825104108466383
5,HuberRegressor (robust),0.5962954983547575,0.40252276869006115,0.7309742362223188,0.7268366514210626,22.5218457734839,0.7342485085731842
6,Linear Regression,0.6058514581785219,0.42204562565810233,0.7369069581542464,0.7328618621849083,23.505253736581377,0.7399915647807795
6,Ridge (RidgeCV),0.610950467995718,0.42502856383532694,0.7324597978562688,0.7283463261135915,23.523834204847837,0.7354812652981995
6,Lasso (LassoCV),0.6244397230057839,0.4366660791739071,0.7205152652341469,0.7162181444659141,24.512580375926966,0.7248466844251018
6,Elastic Net (ElasticNetCV),0.6244397230057839,0.4366660791739071,0.7205152652341469,0.7162181444659141,24.512580375926966,0.7248466844251018
6,XGBoost (tuned),0.4896686030440466,0.32512606198186356,0.8281373261893706,0.8254949111553819,17.065360901710346,0.8298050101275232
6,HuberRegressor (robust),0.6137725358105435,0.4213887394107194,0.7299824763769099,0.7258309154355955,22.925259797849932,0.734982502927127
7,Linear Regression,0.59807102151179,0.4172776297324673,0.7299333599091142,0.7257810437945558,23.9940749696918,0.7314162057616386
