sampler,model,method,brier_uncalibrated,brier_calibrated
none,XGBoost,sigmoid,0.0028965058736503124,0.00252879812175613
none,RandomForest,sigmoid,0.0028236316042417994,0.002599547406239617
none,XGBoost,isotonic,0.0028965058736503124,0.00262310709357622
none,RandomForest,isotonic,0.0028236316042417994,0.002547244685220131
