model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Adj_R2_mean,Adj_R2_std,MAPE_pct_mean,MAPE_pct_std,Explained_Var_mean,Explained_Var_std
Linear Regression,0.6049014119259867,0.012009984048067038,0.4157134102296523,0.007212212330016388,0.7260888378241775,0.010279738003640123,0.7218766310566717,0.010437895221002413,23.43822610723417,0.3356476146784254,0.7287117156889615,0.009632377187006816
Ridge (RidgeCV),0.6125477762655187,0.012541683988175572,0.42285286795537463,0.006441730277269645,0.7190847462626841,0.011606529778799056,0.7147648269895124,0.01178516990850237,23.843793234259905,0.43821625139495024,0.7222281484407499,0.010934441152456944
Lasso (LassoCV),0.6206952817247252,0.013024690887533974,0.42985753596168447,0.0072380768368764765,0.7115952289983235,0.011262433876494931,0.707160138725515,0.011435718374699805,24.341061945377575,0.34265201224480807,0.7154597305727864,0.010457892021382607
Elastic Net (ElasticNetCV),0.6208858934771145,0.013032993359551057,0.43009292714024827,0.00722266334668214,0.7114123405794379,0.011418852002997287,0.7069744375041243,0.011594549911676558,24.355717612353942,0.3571821668717746,0.715297800980111,0.010618712471277585
XGBoost (tuned),0.4931674737252049,0.013854325971251047,0.3223096994972497,0.007239779178317927,0.8178649349635229,0.009905708746436573,0.8150640595034273,0.01005809755263568,17.268842542391692,0.3979987601895051,0.8192132753941128,0.009575686741413429
HuberRegressor (robust),0.613945485710952,0.012739066996402771,0.4156640054413157,0.007505769509153594,0.7178072229056001,0.011593372207933952,0.7134676603669906,0.011771753454106143,22.93467743338111,0.3572465144200844,0.7220591667598592,0.010858846480863535
